objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Reunion_1.JPG,,,Christmas Reunion Pic 2014 (1),Lydia Estepa,2014-12-27,Picture of Castillo Family Christmas Family Reunion,family;reunion;holiday;picture;christmas,"San Jose, Occidental Mindoro",46.725562,-117.009633,Castillo Family Archives,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Reunion_2.JPG,,,Christmas Reunion Pic 2014 (2),Lydia Estepa,2014-12-28,Picture of Castillo Family Christmas Family Reunion,family;reunion;holiday;picture;christmas,"San Jose, Occidental Mindoro",46.725562,-117.009633,Castillo Family Archives,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Reunion_3.JPG,,,Christmas Reunion Pic 2014 (3),Lydia Estepa,2014-12-28,Picture of Castillo Family Christmas Family Reunion,family;reunion;holiday;picture;christmas,"San Jose, Occidental Mindoro",46.725562,-117.009633,Castillo Family Archives,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,Reunion_4.JPG,,,New Year Reunion Pic 2015 (1),Lydia Estepa,2015-1-1,Picture of Castillo Family New Year Family Reunion,family;reunion;holiday;picture;new year,"San Jose, Occidental Mindoro",46.725562,-117.009633,Castillo Family Archives,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Reunion_5.JPG,,,New Year Reunion Pic 2015 (2),Lydia Estepa,2015-1-1,Picture of Castillo Family New Year Family Reunion,family;reunion;holiday;picture;new year,"San Jose, Occidental Mindoro",46.725562,-117.009633,Castillo Family Archives,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,